BGC0000001	mol_mass	Abyssomicin C	71455791	408.25	346.142
BGC0000001	molecular_formula	Abyssomicin C	71455791	C23H36O6	C19H22O6
BGC0000001	chem_struct	Abyssomicin C	71455791	C[C@@H](C1=O)C[C@H](C)C/C=C/[C@H]([C@@H](O)[C@@H]2OC3=C1C4=O)[C@]3(O4)C[C@H]2C	C[C@H]1C[C@H](C(=O)C2=C3[C@]4(C[C@H](C(O3)[C@@H](C4/C=C/C1=O)O)C)OC2=O)C
BGC0000001	synonyms	Abyssomicin C	71455791		(-)-abyssomicin C;CHEMBL2204369;
BGC0000016	synonyms	Amphotericin B	5386092		amphotericin b;Fungizone;Abelcet;Ambisome;Fungilin;Ampho-Moronal;Mysteclin-F;Amphocin;Amphotec;Amphozone;Amphotericin B, Streptomyces sp.;C47H73NO17;Fungisone;Amfotericina B [INN-Spanish];Amphotericine B [INN-French];Amphotericinum B [INN-Latin];CCRIS 5963;HSDB 3008;EINECS 215-742-2;NS 718;NSC527017;NSC 527017;NSC-527017;1397-89-3;BRN 0078342;AI3-26528;IAB;Amphotericin B [USAN:INN:JAN];Amphotericin B Colloidal Dispersion;(1R-(1R*,3S*,5R*,6R*,9R*,11R*,15S*,16R*,17R*,18S*,19E,21E,23E,25E,27E,29E,31E,33R*,35S*,36R*,37S*))-33-((3-Amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy)-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo(33.3.1)nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid;14,39-Dioxabicyclo(33.3.1)nonatriaconta-19,21,23,25,2 7,29,31-heptaene-36-carboxylic acid, 33-((3-amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy)-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-(1R-(1R*,3S*,5R*,6R*,9R*,11R*,15S*,16R*,17R*,18S*,19E,21E,23E, 25E-27E,29E,31E,33R*,35S*,36R*,37S*))-;Prestwick_721;Amphotericin B Cholesterol Dispersion;Amphotericin .BETA.;amphotericin B liposomal;Amphotericin B (VAN8C;Prestwick2_000410;AC1NTQ32;Amphotericin B, Lipid-based;CHEMBL364143;SCHEMBL8281075;HMS1569A22;LS-93;(1S,3R,4E,6E,8E,10E,12E,14E,16E,18S,19R,20R,21S,25R,27R,30R,31R,33S,35R,37S,38R)-3-(4-amino-3,5-dihydroxy-6-methyloxan-2-yl)oxy-19,25,27,30,31,33,35,37-octahydroxy-18,20,21-trimethyl-23-oxo-22,39-dioxabicyclo[33.3.1]nonatriaconta-4,6,8,10,12,14,16-heptaene-38-carboxylic acid;14,21,23,25,27,29,31-heptaene-36-carboxylic acid, 33-[(3-amino-3,6-dideoxy-.beta.-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-,[1R-(1R*,3S*,5R*,6R*,9R*,11R*,15S*,16R*,17R*,18S*,19E,21E,23E,25E,27E,29E,31E,33R*,35S*,36R*,37S*)]-;WLN: T6-36- A AO RVO A&U C&U E&U G&U I&U K&U M&UTJ CVQ DQ FQ HQ JQ KQ NQ PQ T1 U1 VQ W1 O&O- BT6OTJ;
BGC0000017	synonyms	Anatoxin-a	3034748		Anatoxin A;Antx-A;Anatoxin I;(+)-Anatoxin-A;UNII-80023A73NK;BRN 5477454;CHEMBL2332144;80023A73NK;Ethanone, 1-(9-azabicyclo(4.2.1)non-2-en-2-yl)-, (1R)-;64285-06-9;1-[(1r,6r)-9-Azabicyclo[4.2.1]non-2-En-2-Yl]ethanone;Anatoxin;Ethanone, 1-(1R,6R)-9-azabicyclo(4.2.1)non-2-en-2-yl-;HSDB 7750;(+)-Anatoxin alpha;AC1MHY54;SCHEMBL13589890;ZINC4098885;BDBM50428369;PDSP1_000464;AKOS006275277;LS-67145;1-[(1R,6R)-9-azabicyclo[4.2.1]non-4-en-5-yl]ethanone;1-((1R,6R,E)-9-azabicyclo[4.2.1]non-2-en-2-yl)ethanone;4P0;
BGC0000017	synonyms	Homoanatoxin-a	126727		142926-86-1;Homoanatoxin;Homoantx;Homoanatoxin a;AC1L2QT6;2-(Propan-1-oxo-1-yl)-9-azabicyclo(4.2.1)non-2-ene;(1R)-1-(9-Azabicyclo(4.2.1)non-2-en-2-yl)-1-propanone;1-[(1R,6R)-9-azabicyclo[4.2.1]non-4-en-5-yl]propan-1-one;1-Propanone, 1-(9-azabicyclo(4.2.1)non-2-en-2-yl)-, (1R)-;
BGC0000024	synonyms	aureothin	6436188		Mycolutein;Strain 58 substance;UNII-G359FGQ2RB;G359FGQ2RB;BRN 0058476;2-Methoxy-3,5-dimethyl-6-(tetrahydro-4-(2-methyl-3-(4-nitrophenyl)-2-propenylidene)-2-furanyl)-4H-pyran-4-one;4H-Pyran-4-one, 3,5-dimethyl-, 2-methoxy-6-(tetrahydro-4-(beta-methyl-p-nitrocinnamylidene)-2-furyl)-;AC1O5L8V;SCHEMBL19717684;LS-127443;5-19-06-00099 (Beilstein Handbook Reference);J-017017;1400-44-8;2-methoxy-3,5-dimethyl-6-[(2R,5Z)-5-[(E)-2-methyl-3-(4-nitrophenyl)prop-2-enylidene]tetrahydrofuran-2-yl]pyran-4-one;26469-10-3;
BGC0000026	synonyms	Avilamycin A 	122779	2,3-deoxy-Flambamycin;A-23575;72000-71-6;AC1L3V8O;AC1Q5C6R;KST-1A7824;AR-1A2994;LS-89288	Flambamycin, 23-deoxy-;AC1L3V8O;AC1Q5C6R;LS-89288;
BGC0000026	synonyms	Avilamycin C	20055307	SCHEMBL6753731;69787-80-0	UNII-GE1D3N476F;GE1D3N476F;69787-80-0;SCHEMBL6753731;DTXSID60220080;UNII-720WDX56D3 component AEIFATUAVHHRBC-GYPCSUJESA-N;
