BGC0000079	indanomycin	3701
BGC0000120	Patulin	4696
BGC0001309	usnic acid	5646
BGC0000850	gamma-butyrolactone	7302
BGC0001316	linamarin	11128
BGC0001318	linamarin	11128
BGC0001181	geosmin	29746
BGC0001415	althiomycin	73420
BGC0001270	gibberellin A4	92109
BGC0001270	gibberellin A7	92782
BGC0000348	ergovaline	104843
BGC0001277	trichodiene	114857
BGC0001278	trichodiene	114857
BGC0000985	Nordidemnin B	164049
BGC0000410	pseudomonine	177258
BGC0001196	desotamide	181446
BGC0001144	neosartoricin	71296182
